riskDamage-printer;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
riskDamage-%-printer;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
riskDamage-soc-motion;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-motion;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-alarm;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-alarm;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-humidity;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-humidity;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-door-lock;0,00;0,00;0,00;0,00;0,00;0,00;0,00;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35
riskDamage-%-soc-door-lock;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990
riskDamage-server;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98
